Time;Acceleration;Position
2025/04/27_15:21:25;{'x': 0.5195417602539062, 'y': 2.3151930053710936, 'z': 9.478644372558593};(8.7431258, 48.07514, 721446)
2025/04/27_15:21:26;{'x': 0.5027823486328125, 'y': 2.27927998046875, 'z': 9.495403784179686};(8.7431258, 48.07514, 721446)
2025/04/27_15:22:31;{'x': 0.47884033203125, 'y': 2.308010400390625, 'z': 9.560047229003906};(8.743206599999999, 48.0751011, 719409)
2025/04/27_15:22:32;{'x': 0.48123453369140623, 'y': 2.1715409057617188, 'z': 9.478644372558593};(8.743206599999999, 48.0751011, 719409)
2025/04/27_15:22:33;{'x': 0.47644613037109373, 'y': 2.31758720703125, 'z': 9.457096557617186};(8.7432099, 48.075098, 719093)
2025/04/27_15:22:34;{'x': 0.5434837768554687, 'y': 2.346317626953125, 'z': 9.447519750976562};(8.7432099, 48.075098, 719093)
2025/04/27_15:22:35;{'x': 0.4285620971679687, 'y': 2.291250988769531, 'z': 9.478644372558593};(8.743207, 48.0750988, 718644)
2025/04/27_15:22:36;{'x': 0.47884033203125, 'y': 2.3295582153320313, 'z': 9.433154541015625};(8.743207, 48.0750988, 718644)
2025/04/27_15:22:37;{'x': 0.5027823486328125, 'y': 2.4396914916992185, 'z': 9.397241516113281};(8.7432082, 48.0751005, 718351)
2025/04/27_15:22:38;{'x': 0.469263525390625, 'y': 2.3127988037109373, 'z': 9.5001921875};(8.7432198, 48.075104499999995, 718170)
2025/04/27_15:23:40;{'x': 0.4955997436523437, 'y': 2.3319524169921872, 'z': 9.612719665527344};(8.7430243, 48.0751637, 723862)
2025/04/27_15:23:41;{'x': 0.48123453369140623, 'y': 2.31758720703125, 'z': 9.447519750976562};(8.7430265, 48.0751646, 723888)
2025/04/27_15:23:42;{'x': 0.5003881469726562, 'y': 2.35589443359375, 'z': 9.490615380859374};(8.7430265, 48.0751646, 723888)
2025/04/27_15:23:43;{'x': 0.48123453369140623, 'y': 2.3295582153320313, 'z': 9.354145886230468};(8.7430373, 48.0751673, 724050)
2025/04/27_15:23:44;{'x': 0.49799394531249996, 'y': 2.3391350219726563, 'z': 9.414000927734374};(8.7430373, 48.0751673, 724050)
2025/04/27_15:23:45;{'x': 0.3064578125, 'y': 2.31758720703125, 'z': 9.414000927734374};(8.7430424, 48.0751686, 723987)
2025/04/27_15:23:46;{'x': 0.5027823486328125, 'y': 2.370259643554687, 'z': 9.358934289550781};(8.7430424, 48.0751686, 723987)
2025/04/27_15:23:47;{'x': 0.5051765502929687, 'y': 2.269703173828125, 'z': 9.473855969238281};(8.7430424, 48.0751686, 723987)
2025/04/27_15:23:48;{'x': 0.44053310546874996, 'y': 2.3367408203125, 'z': 9.390058911132812};(8.7430635, 48.0751734, 723887)
2025/04/27_15:23:49;{'x': 0.4955997436523437, 'y': 2.1619640991210938, 'z': 9.483432775878907};(8.7430635, 48.0751734, 723887)
2025/04/27_15:23:50;{'x': 0.4381389038085937, 'y': 2.1691467041015624, 'z': 9.562441430664062};(8.7430711, 48.075177499999995, 724118)
2025/04/27_15:23:51;{'x': 0.4213794921875, 'y': 2.2864625854492187, 'z': 9.478644372558593};(8.7430711, 48.075177499999995, 724118)
2025/04/27_15:23:52;{'x': 0.49799394531249996, 'y': 2.2768857788085937, 'z': 9.485826977539062};(8.7430652, 48.075174499999996, 723945)
2025/04/27_15:23:53;{'x': 0.4644751220703125, 'y': 2.31758720703125, 'z': 9.466673364257812};(8.7430711, 48.075176299999995, 724032)
2025/04/27_15:23:54;{'x': 0.4860229370117187, 'y': 2.3630770385742186, 'z': 9.481038574218749};(8.7430711, 48.075176299999995, 724032)
2025/04/27_15:23:55;{'x': 0.44532150878906246, 'y': 2.176329309082031, 'z': 9.409212524414063};(8.743073599999999, 48.0751736, 724131)
2025/04/27_15:23:56;{'x': 0.49320554199218747, 'y': 2.4349030883789062, 'z': 9.406818322753905};(8.743073599999999, 48.0751736, 724131)
2025/04/27_15:23:57;{'x': 0.4525041137695312, 'y': 2.35589443359375, 'z': 9.473855969238281};(8.743073599999999, 48.0751736, 724131)
2025/04/27_15:23:58;{'x': 0.4955997436523437, 'y': 2.3127988037109373, 'z': 9.349357482910156};(8.7430874, 48.0751762, 723916)
2025/04/27_15:23:59;{'x': 0.316034619140625, 'y': 2.3367408203125, 'z': 9.464279162597656};(8.7430934, 48.0751759, 723829)
2025/04/27_15:24:00;{'x': 0.5746083984375, 'y': 2.3367408203125, 'z': 9.552864624023437};(8.7430934, 48.0751759, 723829)
2025/04/27_15:24:01;{'x': 0.5195417602539062, 'y': 2.3487118286132813, 'z': 9.457096557617186};(8.7430934, 48.0751759, 723829)
2025/04/27_15:24:02;{'x': 0.411802685546875, 'y': 2.1739351074218747, 'z': 9.445125549316407};(8.743082099999999, 48.0751734, 723608)
2025/04/27_15:24:03;{'x': 0.5123591552734374, 'y': 2.3343466186523436, 'z': 9.490615380859374};(8.7430793, 48.0751699, 723497)
2025/04/27_15:24:04;{'x': 0.4740519287109375, 'y': 2.365471240234375, 'z': 9.481038574218749};(8.7430793, 48.0751699, 723497)
2025/04/27_15:24:05;{'x': 0.4860229370117187, 'y': 2.2553379638671873, 'z': 9.478644372558593};(8.7430793, 48.0751699, 723497)
2025/04/27_15:24:06;{'x': 0.51714755859375, 'y': 2.346317626953125, 'z': 9.425971936035156};(8.7430793, 48.0751699, 723497)
2025/04/27_15:24:07;{'x': 0.488417138671875, 'y': 2.31758720703125, 'z': 9.354145886230468};(8.7430902, 48.0751728, 723121)
2025/04/27_15:24:08;{'x': 0.4836287353515625, 'y': 2.3415292236328122, 'z': 9.478644372558593};(8.7430902, 48.0751728, 723121)
2025/04/27_15:24:09;{'x': 0.47165772705078124, 'y': 2.43250888671875, 'z': 9.449913952636718};(8.7430828, 48.0751705, 722868)
2025/04/27_15:24:10;{'x': 0.47884033203125, 'y': 2.2936451904296873, 'z': 9.404424121093749};(8.7430828, 48.0751705, 722868)
2025/04/27_15:26:48;{'x': 0.5147533569335937, 'y': 2.389413256835937, 'z': 9.488221179199218};(8.7432312, 48.0751618, 737623)
2025/04/27_15:26:49;{'x': 0.47165772705078124, 'y': 2.327164013671875, 'z': 9.473855969238281};(8.743229, 48.0751632, 737871)
2025/04/27_15:26:50;{'x': 0.469263525390625, 'y': 2.31758720703125, 'z': 9.504980590820312};(8.743229, 48.0751632, 737871)
2025/04/27_15:26:51;{'x': 0.5434837768554687, 'y': 2.3056161987304686, 'z': 9.406818322753905};(8.7432289, 48.0751594, 737813)
2025/04/27_15:26:52;{'x': 0.4477157104492187, 'y': 2.3726538452148436, 'z': 9.495403784179686};(8.7432289, 48.0751594, 737813)
2025/04/27_15:31:18;{'x': 0.7589619262695312, 'y': 2.185906115722656, 'z': 9.495403784179686};(8.7432868, 48.0751955, 749205)
2025/04/27_15:31:19;{'x': 0.603338818359375, 'y': 2.195482922363281, 'z': 9.574412438964844};(8.7432866, 48.075196999999996, 749122)
2025/04/27_15:31:20;{'x': 0.603338818359375, 'y': 2.0374656127929685, 'z': 9.5384994140625};(8.7432865, 48.0751949, 748420)
2025/04/27_15:31:21;{'x': 0.6057330200195312, 'y': 2.142810485839844, 'z': 9.543287817382812};(8.7432865, 48.0751949, 748420)
2025/04/27_15:32:53;{'x': 0.5386953735351562, 'y': 2.24097275390625, 'z': 9.509768994140625};(8.7432161, 48.075152599999996, 724991)
2025/04/27_15:32:54;{'x': 0.5722141967773438, 'y': 2.243366955566406, 'z': 9.466673364257812};(8.7432161, 48.075152599999996, 724991)
2025/04/27_15:32:55;{'x': 0.7493851196289062, 'y': 2.269703173828125, 'z': 9.53131680908203};(8.7432164, 48.0751512, 724579)
2025/04/27_15:32:56;{'x': 0.6488286499023437, 'y': 2.2768857788085937, 'z': 9.409212524414063};(8.7432164, 48.0751512, 724579)
2025/04/27_15:32:57;{'x': 0.6200982299804687, 'y': 2.2936451904296873, 'z': 9.445125549316407};(8.7432164, 48.0751512, 724579)
2025/04/27_15:32:58;{'x': 0.5913678100585937, 'y': 2.250549560546875, 'z': 9.421183532714844};(8.7432173, 48.0751479, 724448)
2025/04/27_15:32:59;{'x': 0.603338818359375, 'y': 2.2960393920898436, 'z': 9.497797985839844};(8.7432173, 48.0751479, 724448)
2025/04/27_15:33:00;{'x': 0.5674257934570313, 'y': 2.27927998046875, 'z': 9.402029919433593};(8.7432173, 48.0751479, 724448)
2025/04/27_15:33:01;{'x': 0.6057330200195312, 'y': 2.2457611572265623, 'z': 9.476250170898437};(8.7432173, 48.0751479, 724448)
2025/04/27_15:33:02;{'x': 0.5506663818359374, 'y': 2.250549560546875, 'z': 9.550470422363281};(8.7432173, 48.0751479, 724448)
2025/04/27_15:33:03;{'x': 0.4644751220703125, 'y': 2.2768857788085937, 'z': 9.437942944335937};(8.7432173, 48.0751479, 724448)
