Time;GeigerCounts;Ozone;Pressure;Temperature;CO2;InsideTemp;Humidity;Relative Humidity;BME-Pressure;BME-Altitude
2025/04/27_15:26:52;6;20.0;831.4107492764114;12.101246718689799;2025;26.3029296875;34.22185656763648;34.22185656763648;942.747454826877;604.246857789348
2025/04/27_15:31:18;6;20.0;943.3715656572115;21.37438353776932;1173;0;0;0;0;0
2025/04/27_15:31:19;6;20.0;943.3859192419608;21.378494970798492;1173;0;0;0;0;0
2025/04/27_15:31:20;7;20.0;943.3717583692743;21.376507778167724;1173;0;0;0;0;0
2025/04/27_15:31:21;7;20.0;943.3317428671481;21.369655389785766;1173;0;0;0;0;0
2025/04/27_15:32:53;5;20.0;943.3863437571863;21.498754386901854;1181;0;0;0;0;0
2025/04/27_15:32:54;5;20.0;943.3551883052444;21.492039046287537;1181;0;0;0;0;0
2025/04/27_15:32:55;5;20.0;943.3696812273562;21.49663014650345;1181;0;0;0;0;0
2025/04/27_15:32:56;5;20.0;943.3709708737064;21.506017918586732;1181;0;0;0;0;0
2025/04/27_15:32:57;5;20.0;943.3485399518837;21.498959958553314;1208;0;0;0;0;0
2025/04/27_15:32:58;7;20.0;943.3818770115156;21.49957667350769;1208;0;0;0;0;0
2025/04/27_15:32:59;7;20.0;943.377479687976;21.498617339134217;1208;0;0;0;0;0
2025/04/27_15:33:00;7;20.0;943.3536413034255;21.498480291366576;1208;0;0;0;0;0
2025/04/27_15:33:01;7;20.0;943.3604626632107;21.501152722835542;1208;0;0;0;0;0
2025/04/27_15:33:02;7;20.0;943.3645487309268;21.500124864578247;1206;0;0;0;0;0
2025/04/27_15:33:03;8;20.0;943.3588950739795;21.498891434669495;1206;0;0;0;0;0
2025/04/27_15:33:04;8;20.0;943.3563695850005;21.49793210029602;1206;0;0;0;0;0
2025/04/27_15:34:31;5;20.0;943.4099520526227;21.539800193309784;1189;0;0;0;0;0
2025/04/27_15:34:32;5;20.0;943.4104467888735;21.5437060546875;1189;0;0;0;0;0
2025/04/27_15:34:33;5;20.0;943.4114106561884;21.550695490837096;1189;0;0;0;0;0
2025/04/27_15:34:34;5;20.0;943.3494881000506;21.554053161144257;1189;0;0;0;0;0
2025/04/27_15:34:35;5;20.0;943.4035665993925;21.55535511493683;1199;0;0;0;0;0
2025/04/27_15:34:36;5;20.0;943.4334355340898;21.560768501758574;1199;0;0;0;0;0
2025/04/27_15:34:37;5;20.0;943.4066535625275;21.570567417144776;1199;0;0;0;0;0
2025/04/27_15:34:38;6;20.0;943.4076698606656;21.56707269906998;1199;0;0;0;0;0
2025/04/27_15:34:39;7;20.0;943.4099613747848;21.56446879148483;1199;0;0;0;0;0
2025/04/27_15:34:40;9;20.0;943.431644768024;21.567483842372894;1195;0;0;0;0;0
2025/04/27_15:34:41;9;20.0;943.4127459193368;21.56981365442276;1195;0;0;0;0;0
2025/04/27_15:34:42;9;20.0;943.411216809607;21.568785796165468;1195;0;0;0;0;0
2025/04/27_15:34:43;9;20.0;943.4056823675003;21.57145822763443;1195;0;0;0;0;0
2025/04/27_15:34:44;9;20.0;943.3758901612604;21.56446879148483;1195;0;0;0;0;0
2025/04/27_15:34:45;10;20.0;943.3470104881949;21.562824218273164;1207;0;0;0;0;0
2025/04/27_15:34:46;11;20.0;943.3841636289208;21.56974513053894;1207;0;0;0;0;0
2025/04/27_15:34:47;11;20.0;943.3943104762224;21.570978560447692;1207;0;0;0;0;0
2025/04/27_15:35:00;6;20.0;943.431405419379;21.58413514614105;1205;0;0;0;0;0
2025/04/27_15:35:01;7;20.0;943.4206677462763;21.583998098373414;1205;0;0;0;0;0
2025/04/27_15:35:02;8;20.0;943.4194740123587;21.585779719352722;1205;0;0;0;0;0
2025/04/27_15:35:03;9;20.0;943.3672562906416;21.588315103054047;1205;0;0;0;0;0
2025/04/27_15:35:04;10;20.0;943.4059460904137;21.580092236995696;1191;0;0;0;0;0
2025/04/27_15:37:58;5;20.0;943.4791412048289;21.54987320423126;1194;0;0;0;0;0
2025/04/27_15:37:59;6;20.0;943.4525276460813;21.549462060928345;1194;0;0;0;0;0
2025/04/27_15:38:00;6;20.0;943.4549771770783;21.553916113376616;1194;0;0;0;0;0
2025/04/27_15:38:01;6;20.0;943.4803358695505;21.545761771202088;1194;0;0;0;0;0
2025/04/27_15:38:02;7;20.0;943.4798033253226;21.55377906560898;1199;0;0;0;0;0
2025/04/27_15:38:03;8;20.0;943.4585763549796;21.55364201784134;1199;0;0;0;0;0
2025/04/27_15:38:04;8;20.0;977.4111711389537;39.46294150710106;1199;0;0;0;0;0
2025/04/27_15:38:05;9;20.0;943.4399299322398;21.546172914505004;1199;0;0;0;0;0
2025/04/27_15:38:06;11;20.0;943.4810435593064;21.55028434753418;1199;0;0;0;0;0
2025/04/27_15:38:07;11;20.0;943.4538778735962;21.552545635700227;1196;0;0;0;0;0
2025/04/27_15:38:08;11;20.0;943.4742370983608;21.547680439949037;1196;0;0;0;0;0
2025/04/27_15:39:03;5;20.0;764.7079643344082;5.635070838853717;1199;0;0;0;0;0
2025/04/27_15:39:04;5;20.0;764.7505077654305;5.639991412088275;1199;0;0;0;0;0
2025/04/27_15:39:05;5;20.0;764.7628967951017;5.6492170756310225;1199;0;0;0;0;0
2025/04/27_15:40:06;7;20.0;862.623750179068;24.454395067691802;1198;0;0;0;0;0
2025/04/27_15:40:07;7;20.0;862.5985689903397;24.44706301212311;1198;0;0;0;0;0
2025/04/27_15:40:08;8;20.0;862.645597825963;24.446240725517274;1198;0;0;0;0;0
2025/04/27_15:40:09;8;20.0;862.6613208189146;24.4487761092186;1198;0;0;0;0;0
2025/04/27_15:40:10;8;20.0;862.6329887932941;24.44534991502762;1177;0;0;0;0;0
2025/04/27_15:40:11;8;20.0;862.679721867195;24.44994101524353;1177;0;0;0;0;0
2025/04/27_15:40:12;8;20.0;862.675845624296;24.446103677749633;1177;0;0;0;0;0
2025/04/27_15:40:13;8;20.0;888.2287009882484;37.971861795186996;1177;0;0;0;0;0
2025/04/27_15:40:15;8;20.0;862.6305614608901;24.444664676189422;1311;0;0;0;0;0
2025/04/27_15:40:16;8;20.0;862.5916598421626;24.446994488239287;1311;0;0;0;0;0
2025/04/27_15:40:17;9;20.0;862.5313649369386;24.444390580654144;;0;0;0;0;0
2025/04/27_15:40:18;9;20.0;862.6169736952562;24.446240725517274;1311;0;0;0;0;0
2025/04/27_15:40:48;6;20.0;943.3767091371541;21.390897793769838;1495;0;0;0;0;0
2025/04/27_15:40:49;6;20.0;943.3925467375759;21.394598083496092;1495;0;0;0;0;0
2025/04/27_15:40:50;6;20.0;943.389420523642;21.402204234600067;1495;0;0;0;0;0
2025/04/27_15:40:51;6;20.0;943.413449195106;21.400628185272218;1495;0;0;0;0;0
2025/04/27_15:41:15;4;20.0;1580.9859057528097;10.609836173634976;1473;0;0;0;0;0
2025/04/27_15:41:16;4;20.0;1580.9967164746815;10.604389291089028;1473;0;0;0;0;0
2025/04/27_15:41:17;5;20.0;1581.0157922132116;10.607775215040892;1473;0;0;0;0;0
2025/04/27_15:41:18;7;20.0;1580.9632248013181;10.603469189438037;1473;0;0;0;0;0
2025/04/27_15:41:19;7;20.0;1580.9902348989158;10.618594921827317;1498;0;0;0;0;0
2025/04/27_15:41:20;7;20.0;1580.9678489291284;10.614546826463192;1498;0;0;0;0;0
2025/04/27_15:41:21;7;20.0;1580.7503965272344;10.616092476174236;1498;0;0;0;0;0
2025/04/27_15:41:22;8;20.0;1580.942154293669;10.608879303634167;1498;0;0;0;0;0
2025/04/27_15:41:42;5;20.0;943.3711724979792;21.46044953584671;585;0;0;0;0;0
2025/04/27_15:41:43;6;20.0;943.3651850826287;21.464492444992064;585;0;0;0;0;0
2025/04/27_15:41:44;6;20.0;943.3757178787808;21.466137018203735;585;0;0;0;0;0
2025/04/27_15:41:45;7;20.0;943.3343179963491;21.462984919548035;585;0;0;0;0;0
2025/04/27_15:41:46;8;20.0;943.3463110288507;21.46743897199631;584;0;0;0;0;0
2025/04/27_15:41:47;9;20.0;943.3553978271934;21.470728118419647;584;0;0;0;0;0
2025/04/27_15:41:48;9;20.0;943.3294467491307;21.46682225704193;584;0;0;0;0;0
2025/04/27_15:41:49;10;20.0;943.3492719269399;21.46236820459366;584;0;0;0;0;0
2025/04/27_15:41:50;11;20.0;943.3390603485567;21.471002213954925;584;0;0;0;0;0
2025/04/27_15:41:51;11;20.0;943.3413354919668;21.463944253921508;850;0;0;0;0;0
2025/04/27_15:41:52;14;20.0;943.384430549303;21.469426164627077;850;0;0;0;0;0
2025/04/27_15:41:53;14;20.0;943.364552194617;21.468192734718322;850;0;0;0;0;0
2025/04/27_15:41:54;14;20.0;943.3498390703069;21.46853535413742;850;0;0;0;0;0
2025/04/27_15:41:55;14;20.0;943.3803707499823;21.471276309490204;850;0;0;0;0;0
2025/04/27_15:41:56;14;20.0;943.3666326943651;21.466890780925752;988;0;0;0;0;0
2025/04/27_15:41:57;14;20.0;943.3661828841257;21.4684668302536;988;0;0;0;0;0
2025/04/27_15:41:58;15;20.0;943.3709527296512;21.46538325548172;988;0;0;0;0;0
2025/04/27_15:41:59;15;20.0;943.316648867843;21.464560968875887;988;0;0;0;0;0
2025/04/27_15:42:00;15;20.0;943.3614948599203;21.47017992734909;1058;0;0;0;0;0
2025/04/27_15:42:01;16;20.0;943.3333460190104;21.459832820892334;1058;0;0;0;0;0
